Iter, Rerror, Perror
1 6.59344934763403563e-03 3.63818554019014889e-02
2 1.27050253861422284e-03 6.06941924122448954e-03
3 2.50822100108344566e-04 1.08041085503301094e-03
4 3.98145867546816887e-05 1.83157210093128151e-04
5 5.41330813218343237e-06 2.79878541115788820e-05
6 8.38839535709888539e-07 6.61926177032011356e-06
7 9.51208015526471771e-08 7.66672148950604409e-07
8 1.77887056374599032e-08 1.79782850363103967e-07
9 1.43461455782441957e-09 1.31130672915531770e-08
10 2.48459199697274014e-10 2.70093797508745259e-09
11 1.31489081743847894e-11 1.29471866434583321e-10
12 2.02189346961691534e-12 2.32938506047009814e-11
13 3.86931946433174392e-17 3.50934602049884866e-16
