Iter, Rerror, Perror
1 9.95786338287479450e-02 6.20212663484661197e-01
2 2.57202911907077267e-02 1.85383220504371449e-01
3 9.71721168533775520e-03 6.49330372304620373e-02
4 6.08286405187828758e-03 4.83717349897395468e-02
5 3.81339069995304068e-03 6.15756906441877333e-02
6 2.67780369890389730e-03 7.67589576962019043e-02
7 2.20873231805075038e-03 7.51372156389712997e-02
8 1.62728053438632603e-03 5.70781461945971749e-02
9 1.02680475576819095e-03 3.28569620139189111e-02
10 3.32592233947188705e-04 1.30039902590459583e-02
11 9.13838602310907083e-05 3.60189339435582848e-03
12 1.55946470172610576e-05 6.05162919406584303e-04
13 1.22406760921505381e-06 4.65411228819978448e-05
14 5.44054012067560395e-17 4.55270690176656697e-16
