Iter, Rerror, Perror
1 1.07374068852401375e-01 6.58249266552127010e-01
2 3.26131587527722436e-02 2.32095698905617709e-01
3 1.10640226720967356e-02 7.39424939128145303e-02
4 6.98463741802299483e-03 4.86599916449334743e-02
5 4.19104525355225993e-03 5.25078453939934811e-02
6 2.98768137965758950e-03 7.10665100695075103e-02
7 2.52747338915909527e-03 7.90876510726443993e-02
8 1.87485427704265338e-03 6.85499805377226684e-02
9 1.41978521508607570e-03 4.66099280607017996e-02
10 5.24048523189567890e-04 2.32342843391050470e-02
11 1.90567229190163450e-04 8.59857787674869062e-03
12 4.93186683097817803e-05 2.17499653529626543e-03
13 7.82120445127979269e-06 3.35709647859145082e-04
14 5.99938379194430544e-07 2.39120272321357773e-05
15 5.38989453975963458e-17 4.63096133950389186e-16
