Iter, Rerror, Perror
1 8.30532943870419538e-02 5.31145793171527547e-01
2 1.58922877206628954e-02 1.21328334146921346e-01
3 8.81961661830420358e-03 6.67082302457073506e-02
4 5.43424516641459812e-03 7.92556230919505139e-02
5 3.53723304215279675e-03 1.01376443610866951e-01
6 2.36269445953283695e-03 9.83028607639898633e-02
7 1.70490880195344570e-03 7.02882692782368229e-02
8 9.01750598911529953e-04 3.56530444489439463e-02
9 3.08258688375801513e-04 1.20907879855740551e-02
10 6.29541736499632313e-05 2.44320104091444359e-03
11 5.91315053627975859e-06 2.23235293968740151e-04
12 5.26033815750550128e-17 4.81326726875217500e-16
