Iter, Rerror, Perror
1 1.65358718141067396e-01 8.41074772226044209e-01
2 1.05685354796944367e-01 5.96999997545575312e-01
3 4.74061539533933846e-02 2.98746793101937191e-01
4 2.35549998219182488e-02 1.56132127235968116e-01
5 1.77001487281928799e-02 1.17758000372113231e-01
6 1.09077298142413095e-02 7.47522574205351092e-02
7 8.03801729850011672e-03 5.52884298126396639e-02
8 5.58868042978159178e-03 4.46039442941302475e-02
9 5.56074294952036644e-03 5.06282487927721542e-02
10 4.80263345566872731e-03 5.63081804223150226e-02
11 3.50017636119517818e-03 5.85063549176170206e-02
12 2.26198043766031708e-03 4.87732535048821039e-02
13 1.24796677134616889e-03 3.03730588005418981e-02
14 4.80259884077308564e-04 1.09318574001023069e-02
15 9.62275987488013382e-05 1.92224004823688473e-03
16 3.82704013770912102e-17 3.01201780318519323e-16
