Iter, Rerror, Perror
1 1.59153642187366717e-01 8.39329638119750365e-01
2 9.57035768156820621e-02 5.67108962441961073e-01
3 3.88473510070739200e-02 2.56768135723497437e-01
4 2.22311046597632629e-02 1.45342321230136323e-01
5 1.68774454116932156e-02 1.07828034487600269e-01
6 1.00304905890186025e-02 6.67640248686491578e-02
7 7.39851135835070412e-03 4.97567520445010916e-02
8 5.09033246057768399e-03 4.34839425930344248e-02
9 4.94970875067472869e-03 5.31027285832357254e-02
10 4.06390287687051054e-03 6.07570180941093413e-02
11 2.89192300513809375e-03 5.68932756209401119e-02
12 1.79119749079859080e-03 3.76699621861898565e-02
13 9.70718542629668709e-04 1.59294018562667131e-02
14 1.59963883560706668e-04 2.89563292214309841e-03
15 4.03152318304154335e-17 3.26227805107442785e-16
