Iter, Rerror, Perror
1 1.51091355091613228e-01 8.10904315059151837e-01
2 8.41221206911778874e-02 5.03047312751875864e-01
3 2.99323541568407535e-02 2.06805272108979338e-01
4 2.07316297238618642e-02 1.39648894578706273e-01
5 1.46932382840650605e-02 1.00625998875083403e-01
6 8.52137727937301963e-03 6.00237643193675466e-02
7 6.44100596141309375e-03 4.85850233003221540e-02
8 4.26051141275125226e-03 4.72989899995368834e-02
9 4.07655633826404813e-03 5.59143289801970061e-02
10 3.41545187716398718e-03 5.84987217875959364e-02
11 2.32265097565867787e-03 4.29512969953946486e-02
12 9.82902589261699239e-04 1.91296097527636384e-02
13 2.02168148128851300e-04 3.95417005403071124e-03
14 4.12331764954020504e-17 3.21393209841350010e-16
