Iter, Rerror, Perror
1 1.41960322427084396e-01 7.48713773125334492e-01
2 7.29106283749623857e-02 4.34721680075693340e-01
3 2.25141509740808821e-02 1.49156780978672021e-01
4 2.00400342481369051e-02 1.31080732010604439e-01
5 1.29625064170733675e-02 8.34284553702148018e-02
6 7.72284020487208275e-03 5.51993179128740866e-02
7 5.75063398313394643e-03 5.44364367305702757e-02
8 3.69874880869150912e-03 5.64015197748976224e-02
9 3.61958965262494832e-03 6.30241397361292616e-02
10 2.63874332853392428e-03 5.09442196319040141e-02
11 1.18645110587548290e-03 2.62300203820140833e-02
12 2.55163918981047492e-04 5.68095975379605874e-03
13 3.83699459565936561e-17 2.91077248509265774e-16
