Iter, Rerror, Perror
1 1.11439744766583720e-01 6.15259885220156622e-01
2 4.21089867609182322e-02 2.64951068218474306e-01
3 1.19940495216174503e-02 8.13450113693735960e-02
4 1.64153122610040877e-02 1.17500408676278076e-01
5 8.34839729586844825e-03 6.89811114244854168e-02
6 5.20913908974107980e-03 6.54251013546493232e-02
7 3.34921611919432056e-03 7.27794968221201904e-02
8 1.76549951070317595e-03 4.69976137570006294e-02
9 8.48658903097990560e-04 1.38172797976411649e-02
10 3.85905620889293517e-17 2.97635522822711517e-16
