Iter, Rerror, Perror
1 1.23396321493045830e-01 7.15912732884447456e-01
2 5.25976269204094446e-02 3.44841354104699793e-01
3 1.39423207267375410e-02 9.42407294573705812e-02
4 1.80274060999132436e-02 1.24634945648540205e-01
5 9.85991770048267463e-03 7.22964136566990045e-02
6 6.24358657171923941e-03 6.32478629141088877e-02
7 3.96311686686118964e-03 7.15657752629449417e-02
8 2.66772760788662293e-03 7.05698856714057077e-02
9 1.83165779435669239e-03 4.15992222597588931e-02
10 5.38284643828800154e-04 1.31477378569844101e-02
11 4.07611101987740270e-17 3.33614927210840187e-16
