Iter, Rerror, Perror
1 1.33660536626603071e-01 7.44716931441520624e-01
2 6.33701075656559476e-02 4.07753973258435654e-01
3 1.79713281477522288e-02 1.21116257566665830e-01
4 1.94116070423787333e-02 1.29342137380163508e-01
5 1.17613315386810458e-02 7.64156970344427450e-02
6 7.25284628027048940e-03 5.89086548405523686e-02
7 5.10996434841403703e-03 6.50755504314074196e-02
8 3.31603362261872038e-03 7.51404653793873445e-02
9 2.93049274695017428e-03 6.81399685537903838e-02
10 1.66990694677754924e-03 3.66218058837657831e-02
11 4.23365647265866105e-04 8.75827859779925756e-03
12 3.89342258899097306e-17 3.22040809649065568e-16
