Iter, Rerror, Perror
1 1.82059574460167219e-02 1.89698131827992743e-02
2 4.87399848705135936e-03 7.19228602507728746e-03
3 7.62272344417734061e-04 1.52481474752678373e-03
4 7.27020313796793686e-05 1.77787982036063956e-04
5 4.70663617050688621e-06 1.30957632255872284e-05
6 2.23909616122802818e-07 6.93565095546063537e-07
7 8.01394428871431361e-09 2.70022905826854149e-08
8 2.18406047074581342e-10 7.92893823266789353e-10
9 4.61687028492642469e-12 1.74179546309034757e-11
10 9.53977135484271395e-18 4.26397507266593183e-17
