Iter, Rerror, Perror
1 2.07812602085959280e-02 2.10806103423959203e-02
2 5.96882847189088121e-03 8.39126152169693447e-03
3 1.03103208353321862e-03 1.96128304430266426e-03
4 1.09158879542925743e-04 2.55034809207891136e-04
5 7.84047587246808849e-06 2.10610388355678627e-05
6 4.12902049777967277e-07 1.22647222285982956e-06
7 1.67769310231144370e-08 5.44123854535883979e-08
8 5.20523092070234850e-10 1.81201692106932083e-09
9 1.26701910563430475e-11 4.66625674909252819e-11
10 2.03904933821989058e-13 8.73268402068339433e-13
