Iter, Rerror, Perror
1 1.11997369549537887e-01 6.85980376797433844e-01
2 3.72739255742447761e-02 2.64791044523195462e-01
3 1.15821116292018893e-02 7.98330535450413603e-02
4 7.33454102767768391e-03 5.25613897501425800e-02
5 4.49875127875288931e-03 5.54450614539651540e-02
6 3.21362034752601137e-03 7.23064826257791698e-02
7 2.74318796378129675e-03 7.85196672650951555e-02
8 2.03368532683981381e-03 6.83141506730013531e-02
9 1.29716740809186358e-03 4.71993818588267028e-02
10 5.87395443274334877e-04 2.44219112596863082e-02
11 2.09489901134712165e-04 9.22837115122166277e-03
12 5.28402986114884980e-05 2.35815658078363790e-03
13 8.41516778653933314e-06 3.63453961181974309e-04
14 6.32923721922537547e-07 2.55361149585843160e-05
15 4.22553663141696477e-17 3.57619914919702683e-16
