Iter, Rerror, Perror
1 7.87865649040019461e-02 5.20448174920618345e-01
2 1.32250669730542298e-02 1.03459730866782756e-01
3 8.47076982985815914e-03 8.27841318082559174e-02
4 5.17012905618724570e-03 9.73019393520518083e-02
5 3.16916821419472357e-03 1.03781852725068957e-01
6 2.15830656061880358e-03 8.54290013448851249e-02
7 1.42811310125067143e-03 4.97527257397180969e-02
8 5.10382402318763462e-04 1.86192984498724061e-02
9 1.14900081805740134e-04 4.13913282957626989e-03
10 1.15128077564857436e-05 4.11166677897215982e-04
11 4.37675251364722672e-17 3.86943873420858116e-16
