Iter, Rerror, Perror
1 8.74851134466080593e-02 5.59758391142469502e-01
2 1.83701512773737190e-02 1.43469949362455440e-01
3 8.96009031404183809e-03 7.02169788208943380e-02
4 5.58279038108600457e-03 8.10085863903341891e-02
5 3.65235096144022253e-03 1.03698423018898270e-01
6 2.59099326160742429e-03 1.00670813181511692e-01
7 1.86585971290199144e-03 7.27392542113722146e-02
8 9.82091182502897600e-04 3.70214112137125032e-02
9 3.36132533266949533e-04 1.26057567787882640e-02
10 6.89004919385074750e-05 2.55142725990861871e-03
11 6.79060097773350035e-06 2.32015048806892495e-04
12 4.19300875890718448e-17 3.81097654526772942e-16
