Iter, Rerror, Perror
1 9.54713599925101075e-02 5.78268544910961357e-01
2 2.32360100838313287e-02 1.66196506366519253e-01
3 9.24597100573520785e-03 6.10489601993540257e-02
4 5.81587537742402592e-03 5.64141813835023626e-02
5 3.83265478729829341e-03 7.98918564604348957e-02
6 2.80690926712594355e-03 8.88891310489154096e-02
7 2.24846374129132652e-03 7.50556955040526386e-02
8 1.42260537466237813e-03 4.80414002944401647e-02
9 6.06240550707287575e-04 2.18355462793606951e-02
10 1.81455474686009836e-04 6.74376318984139852e-03
11 3.32882601103086823e-05 1.24687041567473288e-03
12 2.82527278936380589e-06 1.04096290684754927e-04
13 4.08643275624036465e-17 3.37042461905040563e-16
