Iter, Rerror, Perror
1 1.04298762587019103e-01 6.49105265905636775e-01
2 2.97980489809636581e-02 2.14208506811915139e-01
3 9.95467449320955149e-03 6.83476368570837128e-02
4 6.33496776649011394e-03 5.11256225511327808e-02
5 4.01603528552401095e-03 6.37545314520703010e-02
6 2.94433180098283530e-03 7.75935270659141724e-02
7 2.46495495345895859e-03 7.55168096468333133e-02
8 1.79918615666474469e-03 5.73299981360769970e-02
9 1.00373537867435116e-03 3.33832854335110035e-02
10 3.75417772069342609e-04 1.36411045016093507e-02
11 1.03385890927500625e-04 3.82499273814890543e-03
12 1.74210594021674820e-05 6.43525597707618143e-04
13 1.35291146788312331e-06 4.90880449506822026e-05
14 4.31397898716923324e-17 3.55136911852640282e-16
