Iter, Rerror, Perror
1 7.90120505788500767e-04 5.59644302072139204e-03
2 5.64857089043180113e-05 2.63951491237146780e-04
3 3.58172378371277561e-06 1.36332215525393673e-05
4 1.52628402909664665e-07 6.52795239183683869e-07
5 4.81962708732376042e-09 2.29314830395953364e-08
6 1.12257628567898403e-10 6.53998093698133530e-10
