Iter, Rerror, Perror
1 1.61238978006130323e-01 8.23044138354115606e-01
2 9.88860826404066168e-02 5.63996624385726952e-01
3 4.00208953600868847e-02 2.55255131665556245e-01
4 2.22775746242652763e-02 1.45575903805554213e-01
5 1.61947098090164839e-02 1.05796959718815933e-01
6 9.08561638693100235e-03 6.10044927181619331e-02
7 6.66888778077800917e-03 4.83135602944720771e-02
8 4.24292345359427326e-03 3.55208092598895964e-02
9 4.69662248279713920e-03 4.58670652426459782e-02
10 4.33381740935373950e-03 5.53610854192480503e-02
11 3.10344988673810556e-03 5.67382225658243575e-02
12 2.01698864932738997e-03 4.89018638318185206e-02
13 1.18759737356617353e-03 2.92773557784084849e-02
14 4.64476717011180155e-04 1.12678994538028578e-02
15 9.39523355300928839e-05 1.95959109672217986e-03
16 4.87697470112009747e-17 3.89481952541378874e-16
