Iter, Rerror, Perror
1 1.37474519072308010e-01 7.27328999566936085e-01
2 6.66503835923119015e-02 4.00186245881434255e-01
3 1.91600366854601731e-02 1.25697777241776609e-01
4 1.93885069878776961e-02 1.25050401221178442e-01
5 1.17184448910025302e-02 7.35982566368323654e-02
6 7.14943485104718029e-03 5.02593232223416050e-02
7 5.01655139516642926e-03 5.00879106783750846e-02
8 3.18709787526635360e-03 5.54026481978395005e-02
9 3.23874487408278965e-03 6.14989485655980384e-02
10 2.47781811985535233e-03 5.11285300400794590e-02
11 1.08677166153927198e-03 2.47593722531068913e-02
12 2.41595054983235379e-04 5.54134513236828434e-03
13 5.03385929155849621e-17 4.04825279219116179e-16
