Iter, Rerror, Perror
1 1.54908816208271710e-01 8.20204253983366383e-01
2 8.90013481247144689e-02 5.31882875337259975e-01
3 3.25453427206297066e-02 2.15555062019884974e-01
4 2.14999027297396728e-02 1.37398231819557737e-01
5 1.53577655306261079e-02 9.55683851458619948e-02
6 8.63529457758979713e-03 5.54918184510821075e-02
7 6.24172511748104751e-03 4.29565057609685996e-02
8 3.91232030482381241e-03 3.90125229885595198e-02
9 4.35361569878145276e-03 5.36563472661810911e-02
10 3.69785280816059764e-03 6.07969323588525082e-02
11 2.61847085432828901e-03 5.64545194906512157e-02
12 1.77135122350695990e-03 3.80847754348439954e-02
13 8.06418792587154263e-04 1.66304363456540559e-02
14 3.96255305971508689e-04 7.49803955561410482e-03
15 5.26766040869350604e-17 4.34788108699964284e-16
