Iter, Rerror, Perror
1 1.97161453029336686e-02 2.47128001625871896e-01
2 6.23704021565500699e-03 1.77065002098755808e-01
3 2.42892353431632809e-03 8.00581560521563401e-02
4 6.90624189693537713e-04 2.54520485243107976e-02
5 2.15437555854625855e-04 8.30432045083763157e-03
6 3.40069261171158498e-05 1.15838134327485190e-03
7 1.33529364232285492e-05 9.21805025000842963e-05
8 1.50253744262210128e-07 5.84993130935066789e-06
9 6.15817415094196404e-09 2.39203476180672638e-07
10 1.15776294693450807e-10 4.43464283379291458e-09
11 5.96377616953039593e-17 5.48177313082566833e-16
