Iter, Rerror, Perror
1 3.83349018618031959e-02 2.84641607555512877e-01
2 8.99180079196790563e-03 1.71838527579093736e-01
3 4.28536936747283843e-03 1.22533189118547728e-01
4 1.93774428068477700e-03 6.41275268132527887e-02
5 8.13443490951997437e-04 2.60470544293865333e-02
6 1.96865260588855649e-04 7.72710270616750773e-03
7 6.64472477196257190e-05 2.59686987547531629e-03
8 8.34777970622990910e-06 3.29761077139401342e-04
9 1.10059211653816607e-06 4.70046713382626631e-05
10 1.20223657271028710e-07 5.17770019500200785e-06
11 1.00277689113379641e-08 4.32400019755526228e-07
12 6.18247019228117519e-10 2.65164815568571861e-08
13 2.65754362658144662e-11 1.12662174395814741e-09
14 7.16964779454741240e-13 2.97719821687757589e-11
15 5.49479635872604615e-17 4.76043825704296044e-16
