Iter, Rerror, Perror
1 1.59950319049517523e-02 2.22823219690872265e-01
2 5.38741202309877664e-03 1.49878531341143040e-01
3 1.88777512899917328e-03 5.97488723736663147e-02
4 7.76005752129196457e-04 1.62308843502765761e-02
5 5.89369019873658669e-04 4.65929415123489139e-03
6 2.05344655822036229e-05 3.80160785442719374e-04
7 7.66647063751255265e-07 2.77069764861665763e-05
8 3.55840643848920129e-08 1.27319716083531828e-06
9 7.60428939634788761e-10 2.62168250925881023e-08
10 5.64889475841733928e-17 4.59489851295008681e-16
