Iter, Rerror, Perror
1 3.12736919638969130e-02 2.89638717183798577e-01
2 7.05781242704227579e-03 1.68976051199513977e-01
3 3.22538151785791479e-03 1.04388889473289670e-01
4 1.30309925428449477e-03 4.68502526230586552e-02
5 6.04154281301874023e-04 1.66404236767267906e-02
6 1.12458674101206089e-04 3.74521370090334519e-03
7 4.05626665042312746e-04 5.57697792910242292e-03
8 2.19549793058929892e-06 9.32363722872172349e-05
9 2.22244142436587198e-07 9.54766732737176428e-06
10 1.63280202331715362e-08 7.00420457769967122e-07
11 8.23100406870618007e-10 3.50862964459019487e-08
12 2.56166633191288787e-11 1.07983317712095040e-09
13 3.72992118379001084e-13 1.54073252267525514e-11
14 5.66873721455229437e-17 4.85260402207230296e-16
