Iter, Rerror, Perror
1 3.48052924270202194e-02 2.82120316617154754e-01
2 8.07012067619937261e-03 1.73840323721370066e-01
3 3.75131543820333936e-03 1.16165757961077434e-01
4 1.64633172004876671e-03 5.62618587882576238e-02
5 7.96996658794848546e-04 2.11267957037792505e-02
6 1.57851962636932898e-04 5.54928606684669014e-03
7 3.55320885578489616e-04 5.79555903040169552e-03
8 4.47204187608158578e-06 1.86360625145462521e-04
9 5.14901864942265097e-07 2.28273620682798921e-05
10 4.72576885473413401e-08 2.09771426741715571e-06
11 3.17807195958802519e-09 1.40257298832189071e-07
12 1.47590913748829944e-10 6.44666681319023884e-09
13 4.27741608778365543e-12 1.83166165238095747e-10
14 5.83628676708816559e-14 2.42600337304019536e-12
