Iter, Rerror, Perror
1 7.47478050240483853e-03 1.21743079586165166e-02
2 1.78242127094047531e-03 3.92861335532991400e-03
3 2.29253680463035103e-04 6.31714512221985981e-04
4 1.81523061532175185e-05 5.86587963531675114e-05
5 9.80548693209846800e-07 3.49388032205556970e-06
6 3.98169484681228318e-08 1.50610901582607852e-07
7 1.18027244352760603e-09 4.93931183835159934e-09
