Iter, Rerror, Perror
1 2.00550711203344556e-01 8.84906982046220092e-01
2 1.55998189823160965e-01 7.80545443705389586e-01
3 1.10902087053726020e-01 5.80762350326484711e-01
4 5.84145136863973846e-02 3.59586975215106963e-01
5 6.16248116243852187e-02 3.98517623771694973e-01
6 4.86086391478269889e-02 3.32958562799133162e-01
7 3.65798421979908264e-02 2.54204820024303113e-01
8 2.41390904484532348e-02 1.67351315707329112e-01
9 2.03885669322469189e-02 1.43982806595079782e-01
10 1.52006192478028202e-02 1.13411573632046250e-01
11 1.47739445758628130e-02 1.06928849175295188e-01
12 1.25578685112408082e-02 1.06863626428074815e-01
13 1.01784763742969447e-02 9.13572305121829464e-02
14 5.20743771721757492e-03 4.82571991216974930e-02
15 5.09396228234889513e-17 3.97137374982795200e-16
