Iter, Rerror, Perror
1 1.91260943959276120e-01 8.55653476661279666e-01
2 1.44648348157217221e-01 7.20791006718965788e-01
3 9.76949693725777807e-02 5.51843001008852641e-01
4 4.98069657155048653e-02 3.24956472316560108e-01
5 5.50850410152367923e-02 3.71447134897605391e-01
6 4.16384440979557374e-02 2.92949913180954702e-01
7 2.96674771216370661e-02 2.16643105259422875e-01
8 2.07013530804989049e-02 1.49435576823942484e-01
9 1.67773830737018605e-02 1.31469964595078148e-01
10 1.27090501634542514e-02 9.56590042544515212e-02
11 1.22633523879286024e-02 9.94252639129389465e-02
12 1.07753893712658876e-02 9.26379020730485336e-02
13 5.07772569531614315e-03 5.29716406576855384e-02
14 5.44914694881931084e-17 4.16987369575640537e-16
