Iter, Rerror, Perror
1 1.81167944246507451e-01 8.19720611479901051e-01
2 1.34556646276925651e-01 6.75713218842058705e-01
3 8.52148138306723646e-02 4.78203407154728755e-01
4 4.61646611330452164e-02 2.93072015078096659e-01
5 5.08338213487244742e-02 3.28524029446848886e-01
6 3.63930952465135182e-02 2.41693506893986970e-01
7 2.49012669639683548e-02 1.76000984419003526e-01
8 1.89614544821845206e-02 1.35972988914362908e-01
9 1.45732464357626081e-02 1.03781444599975819e-01
10 1.13831385422307751e-02 8.55649210041209279e-02
11 1.11700555826215100e-02 8.71231377836866189e-02
12 5.05623423324171734e-03 4.85114436919261080e-02
13 4.60986111115254060e-17 3.26473315230421244e-16
