Iter, Rerror, Perror
1 1.46640511035853932e-01 7.03073258492867614e-01
2 1.00929855884636974e-01 5.39049322092863381e-01
3 5.17081344925383116e-02 3.13574943793202110e-01
4 3.90591458604524627e-02 2.77165936292305459e-01
5 3.62132845286667615e-02 2.27411112996893511e-01
6 2.17533115189815288e-02 1.43489670956663179e-01
7 1.55506008188702072e-02 1.15320051893436165e-01
8 1.34539703515752611e-02 1.20616471328332031e-01
9 8.71306075592341404e-03 6.65794167020313243e-02
10 5.18015957864706393e-17 3.94423573805066391e-16
