Iter, Rerror, Perror
1 2.06827166963687886e-01 8.89767637758184793e-01
2 1.64498646003734955e-01 7.84579034720444657e-01
3 1.21345392266847110e-01 6.37851749126337686e-01
4 6.47314174686239724e-02 3.70034475700209475e-01
5 6.47871762253646594e-02 4.19084969309484356e-01
6 5.19788179853424223e-02 3.55811989713180343e-01
7 4.14306799337291962e-02 2.86104584478095836e-01
8 2.75553144550822644e-02 1.98353174107672420e-01
9 2.19788864336314359e-02 1.53334014092903620e-01
10 1.74693912178099930e-02 1.25991503310750014e-01
11 1.61562802526940830e-02 1.18811270441648215e-01
12 1.43081432502953458e-02 1.03419346236826803e-01
13 1.09766914983686764e-02 9.67928554098249766e-02
14 9.01463868636131517e-03 7.75625990560939310e-02
15 4.36929054690457681e-03 3.56224556280993615e-02
16 5.05589853903893154e-17 3.86141154985005370e-16
