Iter, Rerror, Perror
1 1.60194501524479282e-01 7.81744747633536852e-01
2 1.13273173277227440e-01 6.19326225611384840e-01
3 6.35936158102945320e-02 3.92490518193135518e-01
4 4.11911139773714699e-02 2.78031253088941055e-01
5 4.19744594974443830e-02 2.86909665477514730e-01
6 2.64179097735582902e-02 1.82243114282487434e-01
7 1.82637577206758300e-02 1.38365179507316388e-01
8 1.53422869464289579e-02 1.17003190604660329e-01
9 1.12211136413383102e-02 1.01149458908423209e-01
10 7.13268502112081402e-03 5.44486931769274859e-02
11 5.63513661837192847e-17 4.32391636700379636e-16
